Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9646750981247274,0.9450596236901286,0.9624426741850254,0.9531550250222396
MLP,0.8580462276493677,0.8426344004525452,0.7510635926356631,0.7886792601231525
XGBoost,0.9705625817706062,0.9729080942145188,0.9434443529132004,0.9575533267506189
